| Planning | Review  | Sprint Number |
|----------|---------|--------------------------|
| 1/23     | 2/5     | 23                       |
| 2/6      | 2/19    | 24                       |
| 2/20     | 3/5     | 25                       |
| 3/6      | 3/19    | 26                       |
| 3/20     | 4/2     | 27                       |
| 4/3      | 4/16    | 28                       |
| 4/17     | 4/30    | 29                       |
| 5/1      | 5/14    | 30                       |
| 5/15     | 5/28    | 31                       |
| 5/29     | 6/11    | 32                       | 
| 6/12     | 6/25    | 33                       |
| 6/26     | 7/9     | 34                       |
| 7/10     | 7/23    | 35                       |
| 7/24     | 8/6     | 36                       |   
| 8/7      | 8/20    | 37                       |   
| 8/21     | 9/3     | 38                       | 
| 9/4      | 9/17    | 40                       |   
| 9/18     | 10/1    | 41                       | 
| 10/2     | 10/15   | 42                       | 
| 10/16    | 10/29   | 43                       | 
| 10/30    | 11/12   | 44                       | 
| 11/13    | 11/26   | 45                       | 
| 12/1     | 12/17   | 46                       | 
| 12/18    | 1/5     | 47                       | 
